sample_id,filename,width_px,height_px,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,ground_truth_yaw,ground_truth_pitch,ground_truth_roll,ground_truth_emotion,source_benchmark
IVP_REV1_020,sample_020.jpg,47,62,237,66,274,114,25.24,-3.31,176.51,Happy,Dlib_IBUG_300W
IVP_REV1_021,sample_021.jpg,101,141,227,85,306,194,11.32,-2.76,178.03,Anger,Dlib_IBUG_300W
IVP_REV1_022,sample_022.jpg,115,150,116,45,205,161,-13.41,-13.12,-175.02,Disgust,Dlib_IBUG_300W
IVP_REV1_023,sample_023.jpg,126,159,339,73,437,196,14.53,-1.29,170.72,Fear,Dlib_IBUG_300W
IVP_REV1_024,sample_024.jpg,44,55,205,225,239,268,7.22,7.9,178.85,Contempt,Dlib_IBUG_300W
IVP_REV1_025,sample_025.jpg,38,48,286,96,316,134,32.8,-16.05,170.93,Neutral,Dlib_IBUG_300W
IVP_REV1_026,sample_026.jpg,40,52,163,113,195,153,6.73,-10.4,176.98,Happy,Dlib_IBUG_300W
IVP_REV1_027,sample_027.jpg,38,49,225,92,255,131,29.48,-16.17,173.58,Surprise,Dlib_IBUG_300W
IVP_REV1_028,sample_028.jpg,45,58,107,75,142,121,-22.09,-15.58,-170.0,Sad,Dlib_IBUG_300W
IVP_REV1_029,sample_029.jpg,40,55,196,75,228,118,-36.63,-24.18,-164.42,Anger,Dlib_IBUG_300W
IVP_REV1_030,sample_030.jpg,44,57,327,72,361,117,39.35,-18.35,167.34,Disgust,Dlib_IBUG_300W
IVP_REV1_031,sample_031.jpg,45,54,367,127,402,169,-13.49,-0.39,-176.72,Fear,Dlib_IBUG_300W
IVP_REV1_032,sample_032.jpg,46,57,265,123,301,168,13.13,3.37,178.14,Contempt,Dlib_IBUG_300W
IVP_REV1_033,sample_033.jpg,44,58,225,54,259,100,-14.25,-11.24,-176.84,Neutral,Dlib_IBUG_300W
IVP_REV1_034,sample_034.jpg,63,82,105,130,154,194,-11.19,1.48,179.83,Happy,Dlib_IBUG_300W
IVP_REV1_035,sample_035.jpg,44,56,317,113,351,157,19.73,-5.09,178.35,Surprise,Dlib_IBUG_300W
IVP_REV1_036,sample_036.jpg,55,65,134,75,177,126,-25.23,-10.86,-177.57,Sad,Dlib_IBUG_300W
IVP_REV1_037,sample_037.jpg,54,70,193,105,235,159,-20.76,-2.89,-178.62,Anger,Dlib_IBUG_300W
IVP_REV1_038,sample_038.jpg,96,125,148,33,222,130,-17.26,-29.63,-169.36,Disgust,Dlib_IBUG_300W
IVP_REV1_039,sample_039.jpg,71,90,270,274,325,344,-24.02,11.0,174.83,Fear,Dlib_IBUG_300W
IVP_REV1_040,sample_040.jpg,534,661,69,203,481,712,-6.71,6.08,-177.37,Contempt,Dlib_IBUG_300W
IVP_REV1_041,sample_041.jpg,214,300,1081,1268,1247,1500,2.45,25.59,-178.77,Neutral,Dlib_IBUG_300W
IVP_REV1_042,sample_042.jpg,150,210,1455,1314,1571,1476,-32.79,30.15,167.12,Happy,Dlib_IBUG_300W
IVP_REV1_043,sample_043.jpg,221,325,1063,712,1234,963,14.64,4.07,-177.79,Surprise,Dlib_IBUG_300W
IVP_REV1_044,sample_044.jpg,205,297,66,34,225,263,46.91,-24.95,165.22,Sad,Dlib_IBUG_300W
IVP_REV1_045,sample_045.jpg,214,307,565,390,731,627,32.64,-9.23,169.69,Anger,Dlib_IBUG_300W
IVP_REV1_046,sample_046.jpg,196,281,70,660,222,877,59.33,1.92,179.08,Disgust,Dlib_IBUG_300W
IVP_REV1_047,sample_047.jpg,213,291,59,338,224,563,-1.33,0.17,-175.85,Fear,Dlib_IBUG_300W
IVP_REV1_048,sample_048.jpg,213,318,774,771,939,1017,25.61,7.37,177.76,Contempt,Dlib_IBUG_300W
IVP_REV1_049,sample_049.jpg,221,313,762,1196,933,1437,-18.85,9.74,-175.71,Neutral,Dlib_IBUG_300W
IVP_REV1_050,sample_050.jpg,175,240,321,423,456,609,-15.14,-6.72,-173.16,Happy,Dlib_IBUG_300W
