sample_id,seq_id,frame_idx,filename,timestamp_ms,inter_frame_mad,landmark_velocity_px_sec
300VW_seq001_0022,seq_001,22,sequences\seq_001\frame_0022.jpg,1100.0,5.9608,119.22
300VW_seq001_0023,seq_001,23,sequences\seq_001\frame_0023.jpg,1150.0,0.132,2.64
300VW_seq001_0024,seq_001,24,sequences\seq_001\frame_0024.jpg,1200.0,1.1514,23.03
300VW_seq001_0025,seq_001,25,sequences\seq_001\frame_0025.jpg,1250.0,8.4171,168.34
300VW_seq001_0026,seq_001,26,sequences\seq_001\frame_0026.jpg,1300.0,0.1456,2.91
300VW_seq001_0027,seq_001,27,sequences\seq_001\frame_0027.jpg,1350.0,0.0431,0.86
300VW_seq001_0028,seq_001,28,sequences\seq_001\frame_0028.jpg,1400.0,8.3618,167.24
300VW_seq001_0029,seq_001,29,sequences\seq_001\frame_0029.jpg,1450.0,0.1154,2.31
300VW_seq001_0030,seq_001,30,sequences\seq_001\frame_0030.jpg,1500.0,1.279,25.58
300VW_seq001_0031,seq_001,31,sequences\seq_001\frame_0031.jpg,1550.0,0.1695,3.39
300VW_seq001_0032,seq_001,32,sequences\seq_001\frame_0032.jpg,1600.0,1.125,22.5
300VW_seq001_0033,seq_001,33,sequences\seq_001\frame_0033.jpg,1650.0,0.0638,1.28
300VW_seq001_0034,seq_001,34,sequences\seq_001\frame_0034.jpg,1700.0,0.8262,16.52
300VW_seq001_0035,seq_001,35,sequences\seq_001\frame_0035.jpg,1750.0,0.0635,1.27
300VW_seq001_0036,seq_001,36,sequences\seq_001\frame_0036.jpg,1800.0,1.3555,27.11
300VW_seq001_0037,seq_001,37,sequences\seq_001\frame_0037.jpg,1850.0,0.0609,1.22
300VW_seq001_0038,seq_001,38,sequences\seq_001\frame_0038.jpg,1900.0,0.104,2.08
300VW_seq001_0039,seq_001,39,sequences\seq_001\frame_0039.jpg,1950.0,0.0791,1.58
300VW_seq001_0040,seq_001,40,sequences\seq_001\frame_0040.jpg,2000.0,72.6935,1453.87
300VW_seq001_0041,seq_001,41,sequences\seq_001\frame_0041.jpg,2050.0,0.4019,8.04
300VW_seq001_0042,seq_001,42,sequences\seq_001\frame_0042.jpg,2100.0,3.707,74.14
300VW_seq001_0043,seq_001,43,sequences\seq_001\frame_0043.jpg,2150.0,1.0063,20.13
300VW_seq001_0044,seq_001,44,sequences\seq_001\frame_0044.jpg,2200.0,0.4082,8.16
300VW_seq001_0045,seq_001,45,sequences\seq_001\frame_0045.jpg,2250.0,4.1417,82.83
300VW_seq001_0046,seq_001,46,sequences\seq_001\frame_0046.jpg,2300.0,0.6775,13.55
300VW_seq001_0047,seq_001,47,sequences\seq_001\frame_0047.jpg,2350.0,1.2242,24.48
300VW_seq001_0048,seq_001,48,sequences\seq_001\frame_0048.jpg,2400.0,4.3286,86.57
300VW_seq001_0049,seq_001,49,sequences\seq_001\frame_0049.jpg,2450.0,1.3421,26.84
300VW_seq001_0050,seq_001,50,sequences\seq_001\frame_0050.jpg,2500.0,0.7195,14.39
300VW_seq001_0051,seq_001,51,sequences\seq_001\frame_0051.jpg,2550.0,101.6424,2032.85
300VW_seq001_0052,seq_001,52,sequences\seq_001\frame_0052.jpg,2600.0,57.035,1140.7
300VW_seq001_0053,seq_001,53,sequences\seq_001\frame_0053.jpg,2650.0,55.8746,1117.49
300VW_seq001_0054,seq_001,54,sequences\seq_001\frame_0054.jpg,2700.0,34.4754,689.51
300VW_seq001_0055,seq_001,55,sequences\seq_001\frame_0055.jpg,2750.0,107.0264,2140.53
300VW_seq001_0056,seq_001,56,sequences\seq_001\frame_0056.jpg,2800.0,12.971,259.42
300VW_seq001_0057,seq_001,57,sequences\seq_001\frame_0057.jpg,2850.0,8.0421,160.84
300VW_seq001_0058,seq_001,58,sequences\seq_001\frame_0058.jpg,2900.0,10.1992,203.98
300VW_seq001_0059,seq_001,59,sequences\seq_001\frame_0059.jpg,2950.0,6.8968,137.94
